"chack","bank_account"
"uniqueid_1 x Kenya","Yes"
"uniqueid_2 x Kenya","No"
"uniqueid_3 x Kenya","Yes"
"uniqueid_4 x Kenya","No"
"uniqueid_5 x Kenya","No"
"uniqueid_6 x Kenya","No"
"uniqueid_7 x Kenya","No"
"uniqueid_8 x Kenya","No"
"uniqueid_9 x Kenya","Yes"
"uniqueid_10 x Kenya","No"
"uniqueid_11 x Kenya","No"
"uniqueid_12 x Kenya","Yes"
"uniqueid_13 x Kenya","No"
"uniqueid_14 x Kenya","No"
"uniqueid_15 x Kenya","No"
"uniqueid_16 x Kenya","No"
"uniqueid_17 x Kenya","No"
"uniqueid_18 x Kenya","Yes"
"uniqueid_19 x Kenya","No"
"uniqueid_20 x Kenya","No"
"uniqueid_21 x Kenya","No"
"uniqueid_22 x Kenya","Yes"
"uniqueid_23 x Kenya","No"
"uniqueid_24 x Kenya","No"
"uniqueid_25 x Kenya","No"
"uniqueid_26 x Kenya","No"
"uniqueid_27 x Kenya","No"
"uniqueid_28 x Kenya","No"
"uniqueid_29 x Kenya","No"
"uniqueid_30 x Kenya","No"
"uniqueid_31 x Kenya","No"
"uniqueid_32 x Kenya","No"
"uniqueid_33 x Kenya","Yes"
"uniqueid_34 x Kenya","No"
"uniqueid_35 x Kenya","No"
"uniqueid_36 x Kenya","No"
"uniqueid_37 x Kenya","No"
"uniqueid_38 x Kenya","No"
"uniqueid_39 x Kenya","No"
"uniqueid_40 x Kenya","No"
"uniqueid_41 x Kenya","No"
"uniqueid_42 x Kenya","No"
"uniqueid_43 x Kenya","Yes"
"uniqueid_44 x Kenya","No"
"uniqueid_45 x Kenya","No"
"uniqueid_46 x Kenya","No"
"uniqueid_47 x Kenya","No"
"uniqueid_48 x Kenya","No"
"uniqueid_49 x Kenya","No"
"uniqueid_50 x Kenya","No"
"uniqueid_51 x Kenya","No"
"uniqueid_52 x Kenya","No"
"uniqueid_53 x Kenya","No"
"uniqueid_54 x Kenya","No"
"uniqueid_55 x Kenya","Yes"
"uniqueid_56 x Kenya","No"
"uniqueid_57 x Kenya","Yes"
"uniqueid_58 x Kenya","No"
"uniqueid_59 x Kenya","No"
"uniqueid_60 x Kenya","No"
"uniqueid_61 x Kenya","No"
"uniqueid_62 x Kenya","No"
"uniqueid_63 x Kenya","No"
"uniqueid_64 x Kenya","Yes"
"uniqueid_65 x Kenya","No"
"uniqueid_66 x Kenya","No"
"uniqueid_67 x Kenya","No"
"uniqueid_68 x Kenya","Yes"
